epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,246.604,0.32988,0.9986,1,0.01161,0.000473813,0.000473813,0.000473813
2,497.817,0.04171,0.9993,1,0.00501,0.000931333,0.000931333,0.000931333
3,743.794,0.05373,0.99579,1,0.00881,0.00136999,0.00136999,0.00136999
4,992.393,0.02881,0.99789,1,0.00629,0.00134412,0.00134412,0.00134412
5,1246.57,0.02396,0.99789,1,0.00752,0.00131582,0.00131582,0.00131582
6,1501.02,0.02186,1,1,0.0007,0.00128753,0.00128753,0.00128753
7,1760.7,0.04758,0.99789,1,0.00422,0.00125923,0.00125923,0.00125923
8,2019.2,0.01704,0.9993,1,0.00098,0.00123094,0.00123094,0.00123094
9,2270.5,0.01422,0.9986,1,0.00244,0.00120265,0.00120265,0.00120265
10,2519.98,0.0086,1,1,0.00027,0.00117435,0.00117435,0.00117435
11,2769.04,0.01021,1,1,0.00052,0.00114606,0.00114606,0.00114606
12,3021.19,0.01426,1,1,0.0014,0.00111776,0.00111776,0.00111776
13,3277.56,0.00765,0.9993,1,0.00113,0.00108947,0.00108947,0.00108947
14,3534.71,0.00313,1,1,0.00014,0.00106118,0.00106118,0.00106118
15,3787.57,0.00689,1,1,0.00016,0.00103288,0.00103288,0.00103288
16,4068.58,0.00318,1,1,0.00012,0.00100459,0.00100459,0.00100459
17,4395.86,0.00762,0.9993,1,0.00254,0.000976293,0.000976293,0.000976293
18,4605.66,0.00906,0.9993,1,0.00335,0.000947999,0.000947999,0.000947999
19,4744.99,0.00824,0.9993,1,0.00089,0.000919704,0.000919704,0.000919704
20,4881.4,0.00502,1,1,1e-05,0.00089141,0.00089141,0.00089141
21,5025.31,0.00526,1,1,1e-05,0.000863116,0.000863116,0.000863116
22,5389.9,0.00321,1,1,3e-05,0.000834822,0.000834822,0.000834822
23,5717.36,0.00151,1,1,8e-05,0.000806528,0.000806528,0.000806528
24,5973.04,0.00206,1,1,5e-05,0.000778233,0.000778233,0.000778233
25,6172.45,0.00341,1,1,5e-05,0.000749939,0.000749939,0.000749939
26,6388.03,0.00611,1,1,0.00014,0.000721645,0.000721645,0.000721645
27,6526.41,0.00201,1,1,8e-05,0.000693351,0.000693351,0.000693351
28,6658.8,0.00962,1,1,4e-05,0.000665057,0.000665057,0.000665057
29,6791.4,0.00333,1,1,4e-05,0.000636762,0.000636762,0.000636762
30,6928.06,0.0046,1,1,2e-05,0.000608468,0.000608468,0.000608468
31,7063.75,0.01072,1,1,2e-05,0.000580174,0.000580174,0.000580174
32,7208.63,0.00203,1,1,1e-05,0.00055188,0.00055188,0.00055188
33,7347.6,0.00241,1,1,2e-05,0.000523586,0.000523586,0.000523586
34,7482.11,0.0024,1,1,7e-05,0.000495291,0.000495291,0.000495291
35,7616.27,0.00178,1,1,0.0001,0.000466997,0.000466997,0.000466997
36,7749.7,0.00088,1,1,5e-05,0.000438703,0.000438703,0.000438703
37,7892.9,0.00077,1,1,0.00012,0.000410409,0.000410409,0.000410409
38,8037.44,0.00363,1,1,0.00025,0.000382115,0.000382115,0.000382115
39,8180.91,0.00083,1,1,5e-05,0.00035382,0.00035382,0.00035382
40,8321.05,0.00178,1,1,0.00012,0.000325526,0.000325526,0.000325526
41,8483.36,0.00087,1,1,2e-05,0.000297232,0.000297232,0.000297232
42,8663.79,0.00044,1,1,3e-05,0.000268938,0.000268938,0.000268938
43,8848.76,0.00053,1,1,3e-05,0.000240644,0.000240644,0.000240644
44,9019.17,0.00078,1,1,1e-05,0.000212349,0.000212349,0.000212349
45,9158.31,0.00085,1,1,2e-05,0.000184055,0.000184055,0.000184055
46,9301.09,0.0004,1,1,1e-05,0.000155761,0.000155761,0.000155761
47,9436.53,0.00053,1,1,2e-05,0.000127467,0.000127467,0.000127467
48,9569.52,0.00179,1,1,1e-05,9.91726e-05,9.91726e-05,9.91726e-05
49,9707.39,0.00106,1,1,1e-05,7.08784e-05,7.08784e-05,7.08784e-05
50,9841.16,0.00053,1,1,1e-05,4.25842e-05,4.25842e-05,4.25842e-05
